                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3144,                  5.658,                 4.2012,                0.00186,                0.01644,                0.00244,                0.00056,                 3.5381,                 5.8174,                 4.0422,             7.3593e-05,             7.3593e-05,             7.3593e-05
                      2,                 3.1083,                 4.7521,                 3.8363,                0.29657,                0.01214,                 0.0058,                0.00216,                 2.7892,                 5.9413,                 3.3423,             0.00014175,             0.00014175,             0.00014175
                      3,                 2.8269,                 4.1801,                  3.407,                0.01978,                 0.1865,                0.03208,                0.01027,                 2.3933,                 4.6626,                 2.9993,             0.00020404,             0.00020404,             0.00020404
                      4,                  2.466,                 3.8487,                 3.0283,                0.38875,                0.02947,                0.02007,                0.00716,                 2.2646,                 4.5124,                 2.7506,             0.00019563,             0.00019563,             0.00019563
                      5,                 2.1605,                  3.483,                 2.7167,                0.40391,                0.04852,                0.05142,                0.02521,                 1.8874,                 3.6544,                  2.422,             0.00018684,             0.00018684,             0.00018684
                      6,                  1.949,                 3.2371,                   2.51,                0.46866,                 0.0828,                0.08246,                0.03849,                 1.7628,                 3.3344,                 2.2572,             0.00017804,             0.00017804,             0.00017804
                      7,                 1.8269,                 3.0132,                 2.3635,                0.51738,                0.15851,                0.18167,                0.09956,                 1.5909,                  3.164,                 2.1803,             0.00016925,             0.00016925,             0.00016925
                      8,                 1.6802,                 2.8122,                 2.2385,                0.47472,                0.15029,                0.16541,                0.09577,                 1.5088,                 2.9652,                 2.0363,             0.00016046,             0.00016046,             0.00016046
                      9,                 1.6121,                 2.6579,                 2.1603,                0.48702,                0.25737,                0.25397,                0.15235,                 1.4038,                 2.6364,                  1.974,             0.00015167,             0.00015167,             0.00015167
                     10,                 1.5374,                 2.5191,                 2.0833,                0.53477,                0.34541,                0.36449,                0.22965,                 1.3392,                 2.6223,                 1.9061,             0.00014288,             0.00014288,             0.00014288
                     11,                 1.4997,                 2.4505,                  2.043,                0.61616,                0.28199,                0.31918,                0.20758,                 1.2805,                 2.4504,                 1.8194,             0.00013409,             0.00013409,             0.00013409
                     12,                 1.4427,                 2.3443,                  1.991,                0.75843,                0.38682,                0.48499,                0.30352,                 1.2825,                 2.2046,                 1.7955,              0.0001253,              0.0001253,              0.0001253
                     13,                 1.4181,                 2.2603,                 1.9501,                0.65535,                 0.5167,                0.58117,                0.37884,                  1.251,                   2.08,                 1.7844,             0.00011651,             0.00011651,             0.00011651
                     14,                 1.3714,                 2.1548,                 1.9029,                0.56713,                0.50268,                0.56581,                0.39081,                 1.1643,                 2.0554,                 1.7254,             0.00010771,             0.00010771,             0.00010771
                     15,                  1.351,                 2.0977,                 1.8768,                0.76134,                0.52781,                0.65966,                0.45345,                 1.1507,                 1.8878,                  1.703,             9.8923e-05,             9.8923e-05,             9.8923e-05
                     16,                 1.1595,                 2.0435,                 1.7384,                 0.8117,                0.59193,                0.71699,                0.49274,                 1.1132,                 1.7778,                 1.6647,             9.0132e-05,             9.0132e-05,             9.0132e-05
                     17,                 1.0979,                 1.8653,                 1.6732,                0.76836,                0.64165,                0.73209,                 0.5153,                 1.0813,                 1.6566,                 1.6051,             8.1341e-05,             8.1341e-05,             8.1341e-05
                     18,                 1.0758,                 1.7767,                  1.652,                0.74952,                0.71916,                0.77907,                0.55908,                 1.0451,                 1.5664,                 1.5893,              7.255e-05,              7.255e-05,              7.255e-05
                     19,                 1.0555,                 1.6945,                 1.6204,                0.77982,                0.66009,                0.79773,                0.57211,                 1.0519,                 1.5244,                 1.5869,             6.3758e-05,             6.3758e-05,             6.3758e-05
                     20,                 1.0372,                 1.6426,                 1.6099,                0.72395,                0.71279,                0.79357,                0.57917,                 1.0271,                 1.5176,                 1.5812,             5.4967e-05,             5.4967e-05,             5.4967e-05
                     21,                 1.0088,                 1.6168,                 1.5772,                0.86697,                0.71138,                 0.8154,                0.59864,                0.99059,                 1.4107,                 1.5436,             4.6176e-05,             4.6176e-05,             4.6176e-05
                     22,                0.98674,                 1.5428,                  1.549,                0.77095,                0.75857,                0.83185,                0.61238,                0.97093,                 1.3808,                 1.5212,             3.7385e-05,             3.7385e-05,             3.7385e-05
                     23,                0.98217,                  1.517,                 1.5414,                0.85744,                0.74686,                0.83494,                0.61811,                0.98098,                 1.3367,                  1.515,             2.8594e-05,             2.8594e-05,             2.8594e-05
                     24,                0.95797,                 1.4715,                 1.5234,                0.77639,                0.78866,                0.84189,                0.62304,                0.97665,                 1.3329,                 1.5183,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     25,                0.95438,                  1.451,                 1.5275,                0.82214,                0.77414,                0.85317,                0.63463,                0.95878,                 1.3132,                    1.5,             1.1011e-05,             1.1011e-05,             1.1011e-05
